issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"Thank you for reaching out about your access issue. I understand how important it is to regain access to your Claude team workspace, and I’m escalating your ticket to a specialist who can assist you further. They will review your situation and provide the necessary support. You can expect to hear back from them shortly.",pre_built_connectors,escalated,product_issue,Escalation rule 'access_restoration': Account access restoration requires admin or workspace owner action. | Request type (default): product_issue | Product area (from retrieved docs): pre_built_connectors | Top retrieved doc: 'Use Google Workspace connectors' (score: 0.030) | LLM classification: skipped (rules sufficient)
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Thank you for reaching out regarding your test score dispute. Your issue is being escalated to a specialist who can provide the necessary human attention to review your concerns thoroughly. You can expect to hear back from them soon with an update on your situation. We appreciate your patience during this process.,oracle_recruiting_cloud,escalated,product_issue,Escalation rule 'score_dispute': Score disputes and override requests cannot be handled automatically. | Request type (default): product_issue | Product area (from retrieved docs): oracle_recruiting_cloud | Top retrieved doc: 'Oracle Recruiting Cloud and HackerRank Integration User Guide' (score: 0.029) | LLM classification: skipped (rules sufficient)
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,Thank you for reaching out to us regarding your issue with the merchant. Your ticket has been escalated to a specialist who will be able to provide the necessary assistance for your situation. They will review your case and get back to you shortly with the next steps. We appreciate your patience as we work to resolve this for you.,visa_general,escalated,product_issue,Escalation rule 'refund_request': Refund/chargeback requests require human review of billing records. | Request type (default): product_issue | Product area (from retrieved docs): visa_general | Top retrieved doc: 'Visa Consumer Support' (score: 0.032) | LLM classification: skipped (rules sufficient)
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Thank you for reaching out about your mock interviews. I understand how frustrating this situation can be, and I want to ensure you receive the best assistance possible, which is why your issue is being escalated to a specialist. They will review your case and get back to you shortly with the next steps regarding your refund. Thank you for your patience.","subscriptions,_payments,_and_billing",escalated,bug,"Escalation rule 'refund_request': Refund/chargeback requests require human review of billing records. | Request type (rule): bug | Product area (from retrieved docs): subscriptions,_payments,_and_billing | Top retrieved doc: 'Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans' (score: 0.033) | LLM classification: skipped (rules sufficient)"
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"Thank you for reaching out regarding your payment issue with order ID: cs_live_abcdefgh. We understand how important this matter is, and it requires the attention of a specialist to ensure it is resolved properly. A human agent will review your case and get back to you shortly with an update. We appreciate your patience during this process.","subscriptions,_payments,_and_billing",escalated,product_issue,"Escalation rule 'payment_issue': Payment issues with specific order IDs require human investigation. | Request type (default): product_issue | Product area (from retrieved docs): subscriptions,_payments,_and_billing | Top retrieved doc: 'Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans' (score: 0.031) | LLM classification: skipped (rules sufficient)"
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Thank you for reaching out regarding your infosec process for using HackerRank for hiring. Your request is being escalated to a specialist who can provide the detailed assistance you need. They will review your inquiry and get back to you shortly with the necessary information and next steps. We appreciate your patience as we ensure you receive the best support.,uncategorized,escalated,product_issue,Escalation rule 'infosec_request': InfoSec/compliance requests require direct engagement from the security team. | Request type (default): product_issue | Product area (from retrieved docs): uncategorized | Top retrieved doc: 'Onboarding Candidates' (score: 0.032) | LLM classification: skipped (rules sufficient)
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"It seems that you are unable to see the ""Apply"" tab, which may be related to the requirements for practicing and submitting solutions. Unfortunately, the documentation does not provide specific information about the ""Apply"" tab or its visibility issues.

However, if you are trying to practice and submit solutions, please ensure that you have completed any required practice challenges if applicable. If you are preparing for a certification, remember that you must finish the necessary practice challenges before unlocking the certification.

If you continue to experience issues, I recommend reaching out to HackerRank support directly for further assistance.",contests,replied,bug,"Request type (rule): bug | Product area (from retrieved docs): contests | Top retrieved doc: 'Introduction to Contests' (score: 0.016) | LLM assessment: The user is experiencing an issue with the application tab not being visible, which is a product-related question that can be addressed with existing documentation."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Thank you for reaching out to us regarding the issues you're experiencing with submissions on our website. We understand how important this is, and your ticket is being escalated to a specialist who can provide the focused assistance needed to resolve this matter. You can expect to hear back from them shortly with further updates and support. Thank you for your patience!",practice_coding_challenges,escalated,product_issue,Escalation rule 'platform_outage': Platform-wide outages require engineering team escalation. | Request type (default): product_issue | Product area (from retrieved docs): practice_coding_challenges | Top retrieved doc: 'Coding Challenges FAQs' (score: 0.031) | LLM classification: skipped (rules sufficient)
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"It sounds like you're experiencing a WebSocket connectivity issue during your compatibility check, which is preventing you from taking the test. Here are some steps you can follow to troubleshoot this issue:

1. **Verify System Compatibility**: 
   - Open the [HackerRank Compatibility](https://www.hackerrank.com/compatibility) link.
   - Review the results to confirm that all parameters are configured correctly.

2. **Check WebSocket Connectivity**: 
   - The pre-test compatibility page detects WebSocket connectivity issues. Make sure your network settings allow WebSocket connections. 

3. **Contact Support**: 
   - If you continue to face issues after checking your settings, please contact support at support@hackerrank.com. Include a screenshot of the error message you are encountering for better assistance.

If these steps do not resolve your issue, please let me know, and I can assist you further.",release_notes,replied,bug,"Request type (rule): bug | Product area (from retrieved docs): release_notes | Top retrieved doc: 'April 2026 Release Notes Screen Interview Platform Chakra (AI Interviewer) SkillUp Community Deprecations and Experience Changes' (score: 0.016) | LLM assessment: The user is experiencing a compatibility issue related to Zoom connectivity, which is a common product issue that can be addressed with the provided documentation on troubleshooting compatibility checks."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Thank you for reaching out regarding your HackerRank assessment. Your request for rescheduling is being escalated to a specialist who can provide the necessary assistance, as this matter requires personalized attention. You can expect to hear back from them shortly with further information on your options. We appreciate your understanding and patience.",manage_interviews,escalated,product_issue,"Escalation rule 'reschedule_request': Assessment rescheduling must be handled by the hiring company, not the platform. | Request type (default): product_issue | Product area (from retrieved docs): manage_interviews | Top retrieved doc: 'Reschedule an Interview Prerequisites Rescheduling an Interview' (score: 0.030) | LLM classification: skipped (rules sufficient)"
